app_name,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
Lost Summoner Kitty,761140,Kotoshiro,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
Ironbound,643980,Secret Level SRL,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
Real Pool 3D - Poolians,670290,Poolians.com,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
弹炸人2222,767400,彼岸领域,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Battle Royale Trainer,772540,Trickjump Games Ltd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
SNOW - All Access Basic Pass,774276,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
SNOW - All Access Pro Pass,774277,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
SNOW - All Access Legend Pass,774278,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
Race,768800,RewindApp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2018
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,Stegalosaurus Game Development,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
Beach Rules,768880,Copperpick Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
Planetarium 2 - Zen Odyssey,765320,Ghulam Jewel,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
The first thrust of God,773650,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
SNOW - Starter Pack,774271,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
The first thrust of God - All Aircrafts,773690,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
SNOW - Lifetime Pack,774279,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
The Warrior Of Treasures,768060,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
RC Plane 3 - Canyon Scenario,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
RC Plane 3 - F-53B,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
DinoBlaster,653960,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
Robotpencil Presents: Understanding 3D for Concept,777910,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Carmageddon Max Pack,282010,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
Half-Life,70,Valve,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
Fallen Mage,752360,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
Lost Cities,520680,BlueLine Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2018
Twisted Enhanced Edition,690410,Games by Brundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Vaporwave Simulator,766850,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
Tactics Forever,413120,ProjectorGames,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,2018
Christmas Santa Troubles,773120,Unknown Indie Devs,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Underdone - Soundtrack,754360,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
Bitcoin Clicker,716110,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
Disciples II: Gallean's Return,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2006
Disciples II: Rise of the Elves,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2006
The Ship: Murder Party,2400,Outerlight Ltd.,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2006
