app_name,price,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,Year
Lost Summoner Kitty,4.99,761140,Kotoshiro,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018.0
Ironbound,0.0,643980,Secret Level SRL,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018.0
Real Pool 3D - Poolians,0.0,670290,Poolians.com,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017.0
弹炸人2222,0.99,767400,彼岸领域,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0
Battle Royale Trainer,3.99,772540,Trickjump Games Ltd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0
SNOW - All Access Basic Pass,9.99,774276,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018.0
SNOW - All Access Pro Pass,18.99,774277,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018.0
SNOW - All Access Legend Pass,29.99,774278,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018.0
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380,Stegalosaurus Game Development,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018.0
Beach Rules,3.99,768880,Copperpick Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0
Planetarium 2 - Zen Odyssey,2.99,765320,Ghulam Jewel,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018.0
The first thrust of God,1.5899999999999999,773650,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018.0
SNOW - Starter Pack,14.99,774271,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018.0
The first thrust of God - All Aircrafts,1.99,773690,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018.0
SNOW - Lifetime Pack,59.99,774279,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018.0
The Warrior Of Treasures,0.99,768060,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0
RC Plane 3 - Canyon Scenario,2.99,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017.0
RC Plane 3 - F-53B,2.99,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017.0
DinoBlaster,4.99,653960,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0
Carmageddon Max Pack,9.99,282010,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997.0
Half-Life,9.99,70,Valve,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998.0
Fallen Mage,1.99,752360,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
Vaporwave Simulator,0.99,766850,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018.0
Underdone - Soundtrack,8.99,754360,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018.0
